Feature,Coef
YLD_BE,36.35671
phh2o_15_30cm,-3.9938154e-06
GPC_42,-2.9261607e-06
GPC_5,2.4534459e-06
GPC_14,2.4031863e-06
X10_CLDD,2.1504864e-06
past_yld_mean,2.0913592e-06
X04_CLDD,2.0557839e-06
X09_CLDD,-2.028224e-06
X10_HTDD,-1.9678125e-06
ProjectID,1.9470988e-06
phh2o_30_60cm,1.9055751e-06
GPC_2,1.885954e-06
GXE__GPC_5__x__X08_PRCP,-1.5821581e-06
GPC_15,1.537344e-06
GPC_28,1.5278765e-06
GPC_16,1.499372e-06
Unnamed: 0,-1.4988136e-06
GPC_41,1.4760279e-06
GPC_38,-1.3060763e-06
GPC_17,-1.2989029e-06
GPC_27,-1.2786396e-06
GPC_29,-1.2475546e-06
past_yld_median,-1.2094405e-06
GPC_25,1.1667088e-06
GPC_4,-1.1164071e-06
GPC_10,1.1087959e-06
GPC_45,-1.0218396e-06
GPC_19,-1.0062365e-06
X06_CLDD,9.81855e-07
clay_0_5cm,-9.2434743e-07
GPC_37,9.0101304e-07
GPC_12,8.7753415e-07
GPC_50,-8.746893e-07
GXE__GPC_8__x__X09_CLDD,-8.7061323e-07
GXE__GPC_2__x__X09_CLDD,-8.3962107e-07
GXE__GPC_1__x__X09_CLDD,8.355203e-07
GPC_9,8.233939e-07
GXE__GPC_3__x__X09_CLDD,7.9492816e-07
GPC_23,7.5211034e-07
GPC_1,-7.1786496e-07
X10_PRCP,-6.9523423e-07
GPC_36,6.7211596e-07
GXE__GPC_7__x__X09_CLDD,6.3734996e-07
GPC_6,-6.326732e-07
X10_DP10,6.1360015e-07
soc_5_15cm,6.10761e-07
GPC_24,-6.0537946e-07
GPC_47,-5.856548e-07
X08_PRCP,-5.82624e-07
GPC_46,-5.2501855e-07
LONGITUDE,-4.693112e-07
GPC_43,4.578962e-07
GPC_40,-4.4610934e-07
GPC_49,4.2210812e-07
GPC_13,4.059805e-07
ERM,3.7673558e-07
GPC_31,3.4016142e-07
GPC_3,-3.3962453e-07
GXE__GPC_6__x__X09_CLDD,-3.2823732e-07
X09_DP10,3.2177874e-07
GPC_20,-3.088762e-07
soc_15_30cm,3.0284193e-07
GPC_26,-3.0245724e-07
GPC_7,2.3763872e-07
GXE__GPC_1__x__X10_HTDD,-2.2292197e-07
GPC_39,-2.1719556e-07
GPC_18,2.069616e-07
GPC_34,1.984342e-07
GPC_48,1.9669514e-07
GXE__GPC_5__x__X09_CLDD,1.9201494e-07
GPC_21,1.8961248e-07
GPC_32,-1.7277927e-07
X07_DP10,-1.47301e-07
GPC_8,-1.10245225e-07
GPC_30,9.271197e-08
GPC_35,-9.2348344e-08
GPC_11,8.360936e-08
GPC_22,5.2653494e-08
GPC_33,-4.8948976e-08
GXE__GPC_5__x__X10_HTDD,3.2026588e-08
GPC_44,1.709235e-08
