rmse,mae,r2,env_id,n
5.65289908406387e-06,4.406207541824583e-06,0.9999999999998053,IACN_2007,23
6.773175544669203e-06,5.503493090176247e-06,0.9999999999996493,ILOR_2005,52
6.775802066067139e-06,5.457097834302906e-06,0.9999999999996628,MNPR_2002,44
6.897866433920495e-06,5.341954384389723e-06,0.9999999999997962,MNPN_2004,31
7.018768361880278e-06,5.48254925300408e-06,0.9999999999996946,IAHV_2007,23
7.067175321324173e-06,5.340576170453915e-06,0.9999999999996683,ILPP_2002,20
7.174737350177501e-06,5.423990880141598e-06,0.9999999999996249,IADS_2006,12
7.505752686813978e-06,6.396484373757024e-06,0.9999999999996471,IASL_2002,15
7.750103255549776e-06,5.901902723383412e-06,0.9999999999996904,OHUC_2006,62
7.7593708106452e-06,6.336308868566461e-06,0.9999999999997647,MDGA_2006,71
7.909516587747825e-06,6.282552082879964e-06,0.9999999999999238,GALE_2002,66
7.928390662115812e-06,6.217900029262772e-06,0.9999999999995238,IAGE_2007,54
7.977842987874387e-06,6.542154946960939e-06,0.9999999999997612,OHAR_2006,60
8.113207936130737e-06,6.38380784104916e-06,0.9999999999995388,MIIT_2006,26
8.235983429371803e-06,6.964267829545907e-06,0.9999999999995662,MOSC_2002,39
8.355993206444401e-06,6.921005249793666e-06,0.999999999999765,MNDB_2005,64
8.360384280209939e-06,7.182965959324455e-06,0.9999999999993133,MNGL_2001,70
8.388823297450886e-06,7.166883681482735e-06,0.9999999999993839,ONTA_2006,18
8.524657063443792e-06,7.043457032285261e-06,0.9999999999996636,WIGA_2003,64
8.56834818802159e-06,7.060546876402895e-06,0.999999999999313,ILRS_2006,20
8.60687267695904e-06,6.375826322696937e-06,0.9999999999997028,ILRS_2001,52
8.687328992120315e-06,7.58898504853215e-06,0.9999999999997052,WIGL_2004,58
8.747828503278726e-06,7.046508787134087e-06,0.9999999999996453,IAPO_2004,32
8.75996288502731e-06,7.011873760026743e-06,0.9999999999997824,OHUC_2004,63
8.956560206383137e-06,6.773546004978925e-06,0.9999999999997259,IADV_2006,9
9.041045214788255e-06,7.94270833542517e-06,0.999999999999579,IAFO_2004,30
9.24759088260646e-06,8.075541834093582e-06,0.9999999999998376,MOMI_2006,31
9.29645376902711e-06,7.815551755108174e-06,0.9999999999996645,ILHA_2005,32
9.309718177334094e-06,7.567074424498474e-06,0.9999999999997112,IAMD_2003,57
9.416350600525382e-06,7.679161657191658e-06,0.9999999999996441,IAHO_2004,65
