Pred,Resid,LOC,YEAR,Line
111.15380859375,-8.593749996066435e-06,VACC,2004,C1.231.33
235.85218811035156,1.1889648448004664e-05,IABP,2004,C1.245.263
157.46234130859375,-4.130859375095497e-05,OHUC,2005,C1.109.82
203.00668334960938,-8.33496093832764e-05,ILLA,2007,C1.477.195
186.176025390625,-2.539062501227818e-05,IASP,2002,C1.51.94
225.37548828125,-8.828124998672138e-05,MDLI,2004,C1.290.377
149.67501831054688,-1.8310546863631316e-05,WIDE,2003,C1.205.204
215.25286865234375,-6.865234374231477e-05,NEFU,2005,C1.96.84
155.67233276367188,-3.276367186799689e-05,ILBE,2005,C1.370.117
176.613037109375,-3.710937500045475e-05,ILWA,2006,C1.311.2
149.34075927734375,-5.9277343751773515e-05,IAHO,2003,C1.181.172
163.38214111328125,-4.1113281241678123e-05,MOCR,2006,C1.321.171
187.17132568359375,-2.5683593747771738e-05,IAPN,2007,C1.452.53
166.39503479003906,-3.4790039052268185e-05,WIMR,2001,C1.146.69
235.11798095703125,-8.095703125832188e-05,NELN,2004,C1.285.151
203.85780334472656,-3.344726565046585e-06,INLE,2004,C1.290.266
239.85910034179688,-3.41796862812771e-07,NEGO,2005,C1.83.23
137.55203247070312,-3.247070313250333e-05,IAHA,2002,C1.151.196
173.8786163330078,-1.6333007806679234e-05,MNDA,2006,C1.342.169
185.92288208007812,-8.208007812982032e-05,INGR,2003,C1.208.48
183.70956420898438,-6.42089843836402e-05,MIFA,2004,C1.249.38
244.81687927246094,-7.927246093686335e-05,NEFU,2005,C1.96.13
221.33587646484375,-7.646484374390639e-05,IAHC,2004,C1.288.25
201.844970703125,-7.070312500445652e-05,MNSE,2007,C1.492.204
207.87147521972656,-7.521972656832077e-05,ILBR,2003,C1.203.1
144.33563232421875,-3.23242187505457e-05,NEGO,2004,C1.240.170
160.91104125976562,-4.125976562363576e-05,NEBR,2001,C1.118.129
202.34107971191406,-7.971191405431455e-05,ILMN,2001,C1.168.134
227.75706481933594,-6.481933593249778e-05,TNUC,2001,C1.5.9
245.03042602539062,-2.602539063900622e-05,KSJO,2004,C1.269.61
234.83367919921875,2.0800781243224264e-05,INRU,2004,C1.260.179
200.69549560546875,4.394531259777068e-06,IAGE,2007,C1.500.150
197.37806701660156,-6.701660157659717e-05,SDPL,2001,C1.153.26
241.19509887695312,-9.887695313182121e-05,NEOX,2001,C1.117.173
200.31802368164062,-2.3681640612949195e-05,KSPL,2002,C1.54.120
183.64756774902344,-6.774902342954192e-05,NENI,2005,C1.101.154
214.75967407226562,-7.407226561895186e-05,INWN,2006,C1.313.134
198.43704223632812,-4.223632811317657e-05,WIDE,2004,C1.250.170
174.79403686523438,-3.686523436385869e-05,ILRI,2002,C1.119.145
170.6142578125,-5.781249998904059e-05,NEDA,2006,C1.353.112
197.42666625976562,-6.625976561736024e-05,NEGR,2004,C1.294.175
114.36071014404297,-1.0144042974502554e-05,MOCH,2003,C1.29.182
212.13656616210938,-6.616210936272182e-05,KSJO,2003,C1.198.16
219.64242553710938,-2.5537109365814104e-05,ILRS,2007,C1.472.181
201.1309814453125,-8.144531250309228e-05,ILLA,2007,C1.499.173
204.9927215576172,-2.155761717403948e-05,IASU,2006,C1.329.48
152.57107543945312,-7.543945312704636e-05,ILST,2002,C1.42.133
220.11541748046875,-1.748046875604814e-05,MNOW,2005,C1.101.150
209.3198699951172,-6.999511720096052e-05,ILBM,2006,C1.329.103
165.35939025878906,-9.025878907209517e-05,NCSA,2006,C1.348.68
207.8608856201172,1.4379882799175903e-05,MOCG,2007,C1.482.101
159.38995361328125,-5.361328123854037e-05,TNUC,2003,C1.207.30
246.92880249023438,-2.4902343795929482e-06,KSGC,2004,C1.293.28
237.22987365722656,2.634277342394853e-05,MNLE,2007,C1.489.15
191.69313049316406,-3.049316407555125e-05,WIJA,2007,C1.466.154
243.37875366210938,-5.366210936585958e-05,NEGO,2006,C1.340.81
201.51559448242188,-9.448242187204414e-05,NCMO,2003,C1.23.163
195.65289306640625,6.933593738267518e-06,IAHO,2004,C1.260.31
196.92503356933594,-3.3569335926131316e-05,KSPL,2002,C1.54.87
167.3912353515625,-3.535156250222826e-05,NEPR,2007,C1.460.44
207.96746826171875,-6.826171875218279e-05,IACA,2005,C1.362.64
233.6669921875,7.812500001591616e-06,OHPT,2001,C1.128.279
172.1100311279297,-3.112792967385758e-05,ILRI,2002,C1.14.180
205.8567657470703,-6.574707032314109e-05,NEGR,2004,C1.255.160
106.94505310058594,-5.310058594432121e-05,ILTH,2001,C1.128.50
169.3060302734375,-3.0273437488403943e-05,NEHR,2001,C1.148.389
142.53704833984375,-4.833984374386091e-05,INNE,2002,C1.8.160
189.7012939453125,6.05468750336513e-06,SDEP,2003,C1.180.47
260.6859130859375,-0.00011308593752801244,OHGR,2004,C1.270.166
232.37168884277344,1.1157226566638201e-05,MOCG,2007,C1.483.185
218.05023193359375,-3.1933593760413714e-05,MOMI,2004,C1.246.60
177.32119750976562,2.4902343795929482e-06,MIBL,2003,C1.181.159
231.4263916015625,-9.160156250231921e-05,ILRC,2005,C1.96.95
219.37948608398438,-8.60839843710437e-05,NEGR,2004,C1.294.199
168.06396484375,-6.484375001036824e-05,KYBG,2006,C1.320.111
190.906982421875,1.7578125010686563e-05,NEHE,2001,C1.149.174
131.73385620117188,-5.620117187277174e-05,OHPT,2003,C1.28.131
165.29501342773438,-1.3427734387505552e-05,OHUC,2005,C1.106.3
204.35484313964844,-4.313964842594942e-05,WIAR,2003,C1.222.191
220.6633758544922,2.414550780827085e-05,MOMI,2005,C1.103.169
171.80551147460938,-1.1474609380002221e-05,MNBI,2003,C1.193.55
145.9857177734375,-1.77734374915417e-05,IAWS,2006,C1.306.166
143.60403442382812,-3.442382811158495e-05,IANL,2001,C1.161.174
212.37448120117188,-8.120117186649622e-05,INEL,2006,C1.326.93
208.98704528808594,-4.5288085942729595e-05,TNUC,2006,C1.343.204
154.93002319335938,-2.319335936817879e-05,MNBI,2007,C1.499.26
146.77574157714844,-4.157714843699978e-05,IAWI,2003,C1.200.13
213.00540161132812,-1.6113281162688509e-06,NEYO,2004,C1.235.64
196.3106231689453,-2.316894531873004e-05,MNDB,2007,C1.489.10
170.8121337890625,-3.378906251327862e-05,ILWA,2005,C1.76.97
257.45892333984375,-2.3339843721714715e-05,ILPP,2007,C1.468.191
216.6320343017578,-3.430175780749778e-05,MNDA,2006,C1.335.142
233.52398681640625,-8.681640625241016e-05,IAHL,2006,C1.330.105
219.40843200683594,-3.200683593718168e-05,WILE,2006,C1.342.128
171.23069763183594,2.3681640755057742e-06,MIBL,2003,C1.181.11
