feature,importance_mean,importance_std
YLD_BE,1.9966099823542478,0.009244409067678459
GPC_45,2.7843914647129876e-05,3.8045305467912353e-06
past_yld_mean,2.7624927572555967e-05,1.330991199787353e-06
GPC_38,2.6756466555866165e-05,2.3364848826898567e-06
GPC_3,1.7077549513500044e-05,2.196599458709889e-06
GPC_43,1.583918177652244e-05,2.12348728906192e-06
GPC_30,1.0855910680440672e-05,1.158848892144877e-06
GPC_41,9.70821408484701e-06,1.6246802728073754e-06
GXE__GPC_5__x__X10_HTDD,8.641253786112469e-06,1.2895022597013847e-06
GPC_33,7.704519340812066e-06,5.375705273506646e-07
GPC_7,7.462580244654848e-06,7.493687610616522e-07
GPC_18,7.087448696008191e-06,1.1456592762702871e-06
GPC_27,7.0237658284288965e-06,1.2672938009529899e-06
GXE__GPC_5__x__X08_PRCP,6.65168981904829e-06,1.1305525592820584e-06
GXE__GPC_7__x__X09_CLDD,6.516705196701888e-06,6.739043346744816e-07
GPC_22,6.156483004593483e-06,1.0156213318784484e-06
GPC_32,6.020967584485782e-06,1.0296816528697605e-06
GPC_5,6.009204510393218e-06,1.0736488082892264e-06
GPC_23,5.9690377054777425e-06,1.107838322666881e-06
GPC_24,5.697687034067478e-06,7.5564617238095e-07
GPC_25,5.584969010585805e-06,7.929145190213007e-07
GPC_12,5.495837389912772e-06,7.010427175648334e-07
GPC_37,5.418111267496694e-06,8.664313911677443e-07
GPC_49,5.34836547376738e-06,1.0759917824564972e-06
GPC_40,5.341890416743489e-06,7.837525884285463e-07
past_yld_median,5.071978307324976e-06,5.145835030576344e-07
GXE__GPC_5__x__X09_CLDD,4.924833796882133e-06,9.201594984983139e-07
GPC_46,4.665228844036306e-06,5.50045009749905e-07
GPC_19,4.62191742429674e-06,3.762011483185181e-07
GPC_17,4.605949174874003e-06,7.762458660491172e-07
GPC_29,4.536266582633175e-06,7.834274162141074e-07
GPC_34,4.501840490733766e-06,1.21727698428994e-06
X09_DP10,4.1917692168436105e-06,1.1623912846271741e-06
GPC_9,4.025565359178085e-06,3.907533453956195e-07
GPC_50,3.925388693903909e-06,3.2020288698463404e-07
GPC_14,3.78944537106074e-06,4.082275936731509e-07
GPC_2,3.608302743318692e-06,7.056523226330459e-07
GPC_8,3.510927848882073e-06,3.261403596035293e-07
GPC_28,3.441186314889766e-06,5.560093331249843e-07
GPC_10,3.438772878006091e-06,3.7820729949236415e-07
GPC_39,3.4138138989669995e-06,4.1999080314414435e-07
X04_CLDD,3.0520788772303577e-06,3.476214684807944e-07
GPC_4,2.887895808778573e-06,6.578340703069673e-07
GPC_36,2.854208993596785e-06,3.6091620442997137e-07
GPC_20,2.7175487591901692e-06,3.208830758866289e-07
GPC_35,2.637229758273296e-06,2.5544112323316113e-07
GPC_31,2.630970294392743e-06,3.748709465581367e-07
GPC_6,2.4975333837273793e-06,4.445860287962223e-07
GPC_44,2.4392187493504912e-06,4.6338947592471606e-07
GPC_11,2.4067143340911203e-06,2.4943783725322334e-07
GPC_47,2.202319129229746e-06,2.6224693446258174e-07
GPC_48,2.13375651528791e-06,3.5794207458465104e-07
GXE__GPC_1__x__X10_HTDD,2.087227900693378e-06,2.9476788283835746e-07
GXE__GPC_3__x__X09_CLDD,2.076540874429433e-06,3.04692815095136e-07
GPC_26,1.9979818615567526e-06,2.810888498894546e-07
GPC_42,1.936611513797537e-06,3.56143721284824e-07
GPC_21,1.7635688432049435e-06,4.960285822132535e-07
GXE__GPC_8__x__X09_CLDD,1.624716601056342e-06,4.256962664689859e-07
LONGITUDE,1.588924027973171e-06,1.822422828768464e-07
GPC_16,1.5460251084897791e-06,2.6403235047546904e-07
GPC_13,1.4897965181281946e-06,1.8960624271335118e-07
GPC_1,1.4683143432225876e-06,1.987850971977101e-07
X09_CLDD,1.4294796751856964e-06,4.2035118095340887e-07
GPC_15,1.1460895619097577e-06,1.6328422571333837e-07
GXE__GPC_6__x__X09_CLDD,9.06396310096369e-07,1.5660821404726976e-07
GXE__GPC_1__x__X09_CLDD,9.0625239936859e-07,2.422359831262423e-07
soc_15_30cm,7.644446204935207e-07,2.4283151173799883e-07
GXE__GPC_2__x__X09_CLDD,7.501496158579534e-07,6.835559067901899e-08
X08_PRCP,7.368166130561349e-07,9.28618137313606e-08
ERM,7.05889147911698e-07,1.526770976488031e-07
Unnamed: 0,4.418957939789081e-07,1.284208882480941e-07
X10_PRCP,3.3310181231094304e-07,8.879753622938221e-08
X10_DP10,2.724016259225692e-07,1.004559902240659e-07
phh2o_30_60cm,2.638187381998058e-07,2.3339911837265394e-08
X07_DP10,2.5915089791883615e-07,6.688625830899691e-08
clay_0_5cm,2.4219619264576054e-07,9.299854816685416e-08
ProjectID,1.5587964414809362e-07,3.1742392933614465e-08
X10_HTDD,1.2506384194921338e-07,3.946266306269212e-08
soc_5_15cm,1.0836749251286192e-07,1.6882050665085057e-08
X10_CLDD,6.680883674059501e-08,1.297419821571073e-08
X06_CLDD,3.221628160909873e-08,1.474987211560158e-08
phh2o_15_30cm,3.6051399199266145e-09,7.499895894329636e-10
