feature,importance_mean,importance_std
YLD_BE,2.0102541805496115,0.04647328453597709
GPC_2,5.5810302268854975e-05,1.151533528108481e-05
GPC_1,2.3293348263597745e-05,8.050416944982115e-06
GPC_9,2.057921417268904e-05,1.0101915866959269e-05
GPC_21,6.660456121854175e-06,1.7161521219514023e-06
GPC_30,5.129233813261358e-06,8.640708444956716e-07
GPC_6,5.077454821023064e-06,9.724753970262083e-07
GXE__GPC_9__x__X08_PRCP,4.893603331534991e-06,1.6086430310263627e-06
GPC_20,4.377228147633971e-06,1.3892749524236047e-06
GPC_19,3.486463020130337e-06,7.010194391188585e-07
GPC_18,3.4534632559091173e-06,5.439768201615568e-07
GPC_29,3.2405741743568584e-06,3.130945287260108e-07
GXE__GPC_8__x__X08_PRCP,3.1926841986384956e-06,4.1717287290035495e-07
past_yld_median,2.9838507391355406e-06,1.2107648279485815e-07
GPC_7,2.812118990491719e-06,4.6242650304098063e-07
GPC_8,2.7177983554671494e-06,3.639761477970935e-07
GPC_25,2.3515373164029184e-06,4.1384479921368534e-07
past_yld_mean,2.3078132362575055e-06,1.0034450602543126e-07
GPC_17,2.1730432073430173e-06,4.043442055298528e-07
GPC_3,2.132922190523079e-06,1.8198571239103473e-07
GPC_5,2.1182668542341076e-06,2.3458561956929315e-07
GXE__GPC_1__x__X08_PRCP,1.9705144004289465e-06,2.4393137768520424e-07
GPC_22,1.7640872780333439e-06,8.630431165690938e-08
GPC_12,1.7423570052965687e-06,1.6803440872601436e-07
GPC_28,1.6329919326096842e-06,1.265078319823653e-07
GPC_26,1.624297023428145e-06,8.407180802972488e-08
GPC_13,1.6164503857662993e-06,2.4607809910949847e-07
GPC_27,1.5888133062191835e-06,8.879696264519837e-08
GPC_23,1.4825881832991606e-06,1.3914270117923462e-07
GPC_14,1.4751414460278943e-06,1.999715222229002e-07
GPC_4,1.4699311119303892e-06,1.033987930581534e-07
MST,1.365461619573516e-06,1.8824707509787613e-07
Unnamed: 0,1.2577329152496652e-06,1.4165281266904047e-07
GPC_16,1.2467075980682197e-06,1.456826164224278e-07
GPC_11,1.2111370697787115e-06,1.0907750538055852e-07
GPC_24,1.2057652274077847e-06,8.909420935789166e-08
GXE__GPC_7__x__X08_PRCP,9.554831859270863e-07,7.805106399917303e-08
GPC_15,9.404494594855706e-07,5.26020224324328e-08
GPC_10,9.266903497562317e-07,9.567449231025551e-08
GXE__GPC_10__x__X08_PRCP,9.171362334914335e-07,9.075509309750497e-08
GXE__GPC_6__x__X08_PRCP,7.586559563232953e-07,4.400155603669986e-08
GXE__GPC_3__x__X08_PRCP,7.124461531837767e-07,4.474708399215019e-08
X08_DP10,6.726392843825479e-07,1.8812621207724308e-07
X07_CLDD,6.19619960828821e-07,1.4718059333312118e-07
X05_DP01,5.304281722406934e-07,4.816453670898436e-08
STLP,4.843676605026381e-07,1.8504442792059295e-08
GXE__GPC_5__x__X08_PRCP,4.083289184997341e-07,2.265023894534257e-08
GXE__GPC_4__x__X08_PRCP,3.8370087693806456e-07,1.902972875753977e-08
GXE__GPC_2__x__X08_PRCP,3.315743603682364e-07,1.4839535073615271e-08
X08_PRCP,3.210825532562467e-07,6.856747405896492e-08
X10_CLDD,2.942493793289813e-07,4.351021192431021e-08
X05_PRCP,2.3012576662040373e-07,1.6948958455506296e-08
X06_DP01,1.9411675106217885e-07,2.0429653742335668e-08
X09_CLDD,1.7955502658040244e-07,9.377741494837898e-09
phh2o_100_200cm,1.4354667199345528e-07,1.2354134681760625e-08
X04_TAVG,1.3441232290523076e-07,4.227641014362733e-09
nitrogen_15_30cm,1.2833471280115916e-07,1.0363707121739491e-08
X09_HTDD,1.1888629235512482e-07,6.885237098691926e-09
clay_15_30cm,1.0619990927773771e-07,9.83018759357689e-09
nitrogen_0_5cm,8.730020142344586e-08,1.0297723634777633e-08
soc_5_15cm,2.8503950022518155e-08,1.827592108752396e-09
projectID,0.0,0.0
